Wall time,Step,Value
1539605979.864717,0,1.0986613035202026
1539605980.019252,100,1.0610747337341309
1539605980.158253,200,0.6532818675041199
1539605980.298304,300,0.5775107145309448
1539605980.433029,400,0.5714666247367859
1539605980.570427,500,0.5687742829322815
1539605980.706265,600,0.5670730471611023
1539605980.842696,700,0.5657752156257629
1539605980.980943,800,0.5646890997886658
1539605981.11831,900,0.5637339949607849
1539605981.257374,1000,0.5628752708435059
1539605981.393026,1100,0.5620843172073364
1539605981.525861,1200,0.5613572597503662
1539605981.65582,1300,0.560685932636261
1539605981.787135,1400,0.560065746307373
1539605981.920578,1500,0.5594942569732666
1539605982.051705,1600,0.5589680671691895
1539605982.180225,1700,0.5584841370582581
1539605982.310673,1800,0.5580382347106934
1539605982.439449,1900,0.5576286911964417
1539605982.574452,2000,0.5572526454925537
1539605982.714414,2100,0.5569062829017639
1539605982.850309,2200,0.5565868616104126
1539605982.982883,2300,0.5562922954559326
1539605983.113102,2400,0.5560206174850464
1539605983.243149,2500,0.5557698607444763
1539605983.374298,2600,0.5555378198623657
1539605983.507925,2700,0.5553234219551086
1539605983.638174,2800,0.5551248788833618
1539605983.767618,2900,0.5549408793449402
