Wall time,Step,Value
1542024238.168346,0,2370.04248046875
1542024238.474542,11,945.0682373046875
1542024238.620299,22,92.9174575805664
1542024238.764882,33,37.755035400390625
1542024238.910073,44,24.44574737548828
1542024239.054466,55,16.2455997467041
1542024239.199288,66,13.741310119628906
1542024239.342695,77,10.635684967041016
1542024239.487424,88,11.120769500732422
1542024239.630094,99,9.932625770568848
1542024239.773127,110,8.266799926757812
1542024239.920727,121,7.1206583976745605
1542024240.065384,132,6.027754783630371
1542024240.209897,143,5.915919780731201
1542024240.356029,154,5.232596397399902
1542024240.501572,165,5.341383934020996
1542024240.64579,176,4.08514404296875
1542024240.79054,187,3.9696123600006104
1542024240.933945,198,3.956986904144287
1542024241.07588,209,3.442746639251709
1542024241.219581,220,3.5550169944763184
1542024241.368118,231,3.160583972930908
1542024241.514437,242,2.956305503845215
1542024241.658845,253,3.006619453430176
1542024241.800567,264,2.75655198097229
1542024241.944229,275,2.980215072631836
1542024242.086822,286,2.9976558685302734
1542024242.232188,297,2.420201301574707
1542024242.374546,308,2.868955373764038
1542024242.768224,319,2.7582545280456543
1542024243.096315,330,2.6788315773010254
1542024243.427747,341,2.6137375831604004
1542024243.57196,352,2.6389365196228027
1542024243.715194,363,2.504779815673828
1542024243.856882,374,2.2886099815368652
1542024244.00191,385,2.379807472229004
1542024244.147192,396,2.5516531467437744
1542024244.29204,407,2.467163324356079
1542024244.436134,418,2.5328826904296875
1542024244.583676,429,2.344512462615967
1542024244.726255,440,2.3533434867858887
1542024244.872507,451,2.4419076442718506
1542024245.014075,462,2.3184475898742676
1542024245.158086,473,2.2868032455444336
1542024245.300266,484,2.3849737644195557
1542024245.441871,495,2.324042320251465
1542024245.583696,506,2.30012845993042
1542024245.726719,517,2.2451465129852295
1542024245.869792,528,2.301783561706543
1542024246.012474,539,2.2206835746765137
1542024246.156593,550,2.149569511413574
1542024246.305843,561,2.1846632957458496
1542024246.449888,572,2.098377227783203
1542024246.595169,583,2.3492274284362793
1542024246.739933,594,2.2119879722595215
1542024246.884128,605,2.2114310264587402
1542024247.024556,616,2.1120080947875977
1542024247.167397,627,2.1127145290374756
1542024247.309844,638,2.1202189922332764
1542024247.453985,649,2.335660457611084
